ASSERTION	AAEDAAEBAQAAAAAAAHCnQA==
ASSERTION	AAEDAAECAQAAAAAAAECPQA==
ASSERTION	AAECAAMFAAAAAAAAAFlA
RUN	jp.rafaelzig.rafka.pubsub.Subscriber	subscriber	1609142004200	 	3.2.1
USER	getAndAck	91	END	1609142023684	1609142023708
USER	getAndAck	92	START	1609142023724	1609142023724
REQUEST	92		/message/get	1609142023725	1609142023738	OK	 
USER	getAndAck	92	END	1609142023724	1609142023738
USER	getAndAck	93	START	1609142023764	1609142023764
REQUEST	93		/message/ack	1609142023764	1609142023771	OK	 
USER	getAndAck	93	END	1609142023764	1609142023771
USER	getAndAck	94	START	1609142023804	1609142023804
REQUEST	94		/message/get	1609142023804	1609142023815	OK	 
USER	getAndAck	94	END	1609142023804	1609142023815
USER	getAndAck	95	START	1609142023844	1609142023844
REQUEST	95		/message/ack	1609142023844	1609142023854	OK	 
USER	getAndAck	95	END	1609142023844	1609142023855
USER	getAndAck	96	START	1609142023873	1609142023873
REQUEST	96		/message/get	1609142023874	1609142023879	OK	 
USER	getAndAck	96	END	1609142023873	1609142023879
USER	getAndAck	97	START	1609142023913	1609142023913
REQUEST	97		/message/ack	1609142023914	1609142023923	OK	 
USER	getAndAck	97	END	1609142023913	1609142023923
USER	getAndAck	98	START	1609142023953	1609142023953
REQUEST	98		/message/get	1609142023954	1609142023959	OK	 
USER	getAndAck	98	END	1609142023953	1609142023960
USER	getAndAck	99	START	1609142023994	1609142023994
REQUEST	99		/message/ack	1609142023995	1609142024004	OK	 
USER	getAndAck	99	END	1609142023994	1609142024004
USER	getAndAck	100	START	1609142024034	1609142024034
REQUEST	100		/message/get	1609142024035	1609142024039	OK	 
USER	getAndAck	100	END	1609142024034	1609142024040
USER	getAndAck	101	START	1609142024074	1609142024074
REQUEST	101		/message/ack	1609142024074	1609142024083	OK	 
USER	getAndAck	101	END	1609142024074	1609142024084
USER	getAndAck	102	START	1609142024103	1609142024103
REQUEST	102		/message/get	1609142024104	1609142024108	OK	 
USER	getAndAck	102	END	1609142024103	1609142024109
USER	getAndAck	103	START	1609142024143	1609142024143
REQUEST	103		/message/ack	1609142024144	1609142024155	OK	 
USER	getAndAck	103	END	1609142024143	1609142024155
USER	getAndAck	104	START	1609142024184	1609142024184
REQUEST	104		/message/get	1609142024185	1609142024190	OK	 
USER	getAndAck	104	END	1609142024184	1609142024191
USER	getAndAck	105	START	1609142024224	1609142024224
REQUEST	105		/message/ack	1609142024224	1609142024230	OK	 
USER	getAndAck	105	END	1609142024224	1609142024230
USER	getAndAck	106	START	1609142024263	1609142024263
REQUEST	106		/message/get	1609142024264	1609142024275	OK	 
